label	Barnet	Bexley	Brent	Bromley	Camden	City_of_London	Croydon	Ealing	Enfield	Greenwich	Hackney	Haringey	Harrow	Havering	Hillingdon	Hounslow	Islington	Lambeth	Lewisham	Merton	Newham	Redbridge	Southwark	Sutton	Tower_Hamlets	Waltham_Forest	Wandsworth	Westminster
Barnet	-	-	69	1	54	9	1	7	82	-	6	46	41	-	5	4	22	6	1	1	1	2	17	-	8	3	4	36
Bexley	-	-	-	59	10	9	3	1	2	114	-	4	-	1	1	-	5	10	20	-	1	1	8	1	6	1	2	15
Brent	71	-	-	-	68	3	-	54	7	6	2	9	57	-	23	9	9	3	2	3	3	3	9	-	4	2	7	58
Bromley	1	61	-	-	11	15	75	1	-	30	1	1	1	1	2	1	2	21	94	5	3	-	25	5	10	1	4	32
Camden	54	11	69	12	-	28	5	21	13	7	29	45	11	4	6	5	96	28	11	12	11	14	22	3	25	15	23	159
City_of_London	10	8	5	13	27	-	11	5	3	6	12	20	14	13	5	5	23	15	20	11	16	17	24	3	20	10	29	32
Croydon	1	3	1	76	7	13	-	5	1	7	3	3	1	1	-	4	5	51	13	31	3	1	24	81	4	-	30	20
Ealing	8	1	52	1	17	5	6	-	-	2	3	4	26	-	84	105	5	5	3	8	3	5	2	-	5	-	5	54
Enfield	85	2	4	-	12	4	1	1	-	1	9	73	2	-	6	-	25	2	-	1	1	6	2	-	4	14	-	10
Greenwich	1	109	2	29	8	10	8	3	2	-	6	2	1	5	1	3	4	11	57	-	14	2	26	1	10	3	4	33
Hackney	5	-	2	1	29	12	3	3	9	7	-	40	-	4	-	1	56	4	7	2	16	14	16	-	32	22	3	27
Haringey	45	3	10	1	51	19	3	5	74	2	39	-	1	-	1	-	65	4	-	-	5	9	7	-	10	7	1	23
Harrow	39	-	61	1	11	16	2	25	2	1	-	1	-	1	56	7	5	3	1	-	3	-	-	-	4	-	1	19
Havering	-	1	-	1	8	13	2	-	-	1	2	-	1	-	1	2	4	1	-	-	16	34	5	-	8	4	2	9
Hillingdon	5	1	22	2	9	6	-	81	6	2	1	2	55	3	-	46	3	3	-	4	-	6	7	1	4	-	3	30
Hounslow	4	-	11	1	5	5	4	106	-	3	1	-	7	2	47	-	1	7	2	4	-	-	3	-	2	-	8	15
Islington	22	6	10	1	102	26	4	5	26	6	57	66	5	4	1	1	-	13	13	7	8	8	20	-	20	13	17	33
Lambeth	9	11	4	23	29	17	49	6	2	9	7	4	3	1	3	5	17	-	18	22	7	2	109	24	16	5	134	76
Lewisham	-	23	1	91	12	18	14	3	-	59	6	-	-	-	-	2	12	21	-	-	10	3	77	2	13	-	6	37
Merton	1	-	3	4	11	13	35	8	1	-	2	-	-	-	1	5	7	19	-	-	2	3	13	57	4	1	91	18
Newham	1	1	1	3	11	16	6	2	1	15	17	7	5	18	1	-	8	7	8	1	-	53	18	2	49	39	3	25
Redbridge	3	1	3	-	14	18	1	5	6	3	11	10	-	35	5	-	8	2	3	3	54	-	5	-	22	84	3	20
Southwark	12	9	9	26	18	20	25	1	2	22	17	6	1	5	1	3	18	109	80	14	23	5	-	8	18	9	19	45
Sutton	-	1	-	4	1	3	79	1	-	1	-	-	-	-	1	1	-	20	2	57	2	-	9	-	3	-	15	19
Tower_Hamlets	12	5	4	10	19	25	3	3	4	9	30	7	4	8	4	-	22	14	11	4	47	21	17	3	-	20	12	35
Waltham_Forest	3	1	5	1	14	12	-	-	12	4	18	5	-	4	-	1	16	4	-	1	40	86	7	-	19	-	-	36
Wandsworth	4	2	8	3	23	24	26	3	-	3	4	1	1	2	2	9	20	134	8	101	2	3	19	12	10	-	-	71
Westminster	31	9	61	36	154	20	22	52	11	30	31	25	19	8	26	18	38	97	38	18	24	24	38	20	35	35	67	-
